"V1","V2","Stability"
"R_V1_ROI","R_MST_ROI",0.147281127502645
"R_V1_ROI","R_V6_ROI",0.144783401247617
"R_V1_ROI","R_V2_ROI",0.370800877647025
"R_V1_ROI","R_V3_ROI",0.152844964467337
"R_V1_ROI","R_V4_ROI",0.187492660348297
"R_V1_ROI","R_V8_ROI",0.362835870376167
"R_V1_ROI","R_4_ROI",0.233366460234395
"R_V1_ROI","R_3b_ROI",0.452792628177397
"R_V1_ROI","R_FEF_ROI",0.0455618460027704
"R_V1_ROI","R_PEF_ROI",0.0648816980416484
"R_V1_ROI","R_55b_ROI",0.105173906301558
"R_V1_ROI","R_V3A_ROI",0.154590534891709
"R_V1_ROI","R_RSC_ROI",0.20935769220476
"R_V1_ROI","R_POS2_ROI",0.368353732641676
"R_V1_ROI","R_V7_ROI",0.356829462216003
"R_V1_ROI","R_IPS1_ROI",0.202432394843606
"R_V1_ROI","R_FFC_ROI",0.142689014223106
"R_V1_ROI","R_V3B_ROI",0.293643032002468
"R_V1_ROI","R_LO1_ROI",0.223129996063607
"R_V1_ROI","R_LO2_ROI",0.11670296508501
"R_V1_ROI","R_PIT_ROI",-0.0610215028065439
"R_V1_ROI","R_MT_ROI",0.211359329126035
"R_V1_ROI","R_A1_ROI",0.467922179882178
"R_V1_ROI","R_PSL_ROI",0.368266862351488
"R_V1_ROI","R_SFL_ROI",0.208068357792331
"R_V1_ROI","R_PCV_ROI",0.179721148256054
"R_V1_ROI","R_STV_ROI",0.187594894160385
"R_V1_ROI","R_7Pm_ROI",0.356294075073476
"R_V1_ROI","R_7m_ROI",0.0505361235734014
"R_V1_ROI","R_POS1_ROI",0.280530552680297
"R_V1_ROI","R_23d_ROI",0.202251488106616
"R_V1_ROI","R_v23ab_ROI",0.131746221438241
"R_V1_ROI","R_d23ab_ROI",0.0516672673408543
"R_V1_ROI","R_31pv_ROI",0.181192725614707
"R_V1_ROI","R_5m_ROI",0.0100080772734312
"R_V1_ROI","R_5mv_ROI",0.136499000963108
"R_V1_ROI","R_23c_ROI",0.328741455087087
"R_V1_ROI","R_5L_ROI",0.200206828077646
"R_V1_ROI","R_24dd_ROI",0.0981492109918432
"R_V1_ROI","R_24dv_ROI",0.291359494273541
"R_V1_ROI","R_7AL_ROI",0.247239916390477
"R_V1_ROI","R_SCEF_ROI",0.367729830567914
"R_V1_ROI","R_6ma_ROI",0.1653867961912
"R_V1_ROI","R_7Am_ROI",0.139442860623974
"R_V1_ROI","R_7PL_ROI",0.0956178580194723
"R_V1_ROI","R_7PC_ROI",0.299373236722966
"R_V1_ROI","R_LIPv_ROI",0.179714674837762
"R_V1_ROI","R_VIP_ROI",0.093348157555877
"R_V1_ROI","R_MIP_ROI",0.224525183716062
"R_V1_ROI","R_1_ROI",0.0699053165243199
"R_V1_ROI","R_2_ROI",0.220494255164137
"R_V1_ROI","R_3a_ROI",0.145221113651942
"R_V1_ROI","R_6d_ROI",0.0460183942227253
"R_V1_ROI","R_6mp_ROI",0.179777919051649
"R_V1_ROI","R_6v_ROI",0.26146259458253
"R_V1_ROI","R_p24pr_ROI",0.0783034566012508
"R_V1_ROI","R_33pr_ROI",0.584455436177147
"R_V1_ROI","R_a24pr_ROI",0.321579320271757
"R_V1_ROI","R_p32pr_ROI",0.211943923582536
"R_V1_ROI","R_a24_ROI",0.362416578603326
"R_V1_ROI","R_d32_ROI",0.225655632235601
"R_V1_ROI","R_8BM_ROI",0.44600653216299
