"V1","V2","Stability"
"R_V1_ROI","R_MST_ROI",0.126679609395364
"R_V1_ROI","R_V6_ROI",0.306031413186796
"R_V1_ROI","R_V2_ROI",0.0628646362556174
"R_V1_ROI","R_V3_ROI",0.207504808559927
"R_V1_ROI","R_V4_ROI",0.395421412466985
"R_V1_ROI","R_V8_ROI",0.123329195022336
"R_V1_ROI","R_4_ROI",0.0132903023639163
"R_V1_ROI","R_3b_ROI",0.0781434301597186
"R_V1_ROI","R_FEF_ROI",0.274211334476979
"R_V1_ROI","R_PEF_ROI",0.136393862247001
"R_V1_ROI","R_55b_ROI",0.377330148344488
"R_V1_ROI","R_V3A_ROI",0.567340307981632
"R_V1_ROI","R_RSC_ROI",0.384918201071418
"R_V1_ROI","R_POS2_ROI",0.406946658054752
"R_V1_ROI","R_V7_ROI",0.361903587580853
"R_V1_ROI","R_IPS1_ROI",0.123250769218904
"R_V1_ROI","R_FFC_ROI",0.154144417352554
"R_V1_ROI","R_V3B_ROI",0.273328453845416
"R_V1_ROI","R_LO1_ROI",0.304878015740706
"R_V1_ROI","R_LO2_ROI",0.306012250199927
"R_V1_ROI","R_PIT_ROI",0.474510706179546
"R_V1_ROI","R_MT_ROI",0.358230175645614
"R_V1_ROI","R_A1_ROI",0.186561951086
"R_V1_ROI","R_PSL_ROI",0.182934797276603
"R_V1_ROI","R_SFL_ROI",0.428216511691308
"R_V1_ROI","R_PCV_ROI",0.331771731999786
"R_V1_ROI","R_STV_ROI",0.56127155001196
"R_V1_ROI","R_7Pm_ROI",0.14237528918659
"R_V1_ROI","R_7m_ROI",0.370428882494397
"R_V1_ROI","R_POS1_ROI",0.217307077513941
"R_V1_ROI","R_23d_ROI",0.1557858005428
"R_V1_ROI","R_v23ab_ROI",0.504313875601979
"R_V1_ROI","R_d23ab_ROI",0.484815978694962
"R_V1_ROI","R_31pv_ROI",0.0454473663969724
"R_V1_ROI","R_5m_ROI",0.290764256547901
"R_V1_ROI","R_5mv_ROI",0.347569018970665
"R_V1_ROI","R_23c_ROI",0.0722261964124269
"R_V1_ROI","R_5L_ROI",0.442619143276029
"R_V1_ROI","R_24dd_ROI",0.0782977134249968
"R_V1_ROI","R_24dv_ROI",0.32481090985733
"R_V1_ROI","R_7AL_ROI",0.395726342864811
"R_V1_ROI","R_SCEF_ROI",-0.00823751900426502
"R_V1_ROI","R_6ma_ROI",0.449689871869175
"R_V1_ROI","R_7Am_ROI",0.10938279030675
"R_V1_ROI","R_7PL_ROI",0.200276697841974
"R_V1_ROI","R_7PC_ROI",0.293614076891618
"R_V1_ROI","R_LIPv_ROI",0.151477906437716
"R_V1_ROI","R_VIP_ROI",0.368092793115403
"R_V1_ROI","R_MIP_ROI",0.224309593701444
"R_V1_ROI","R_1_ROI",0.299739168413213
"R_V1_ROI","R_2_ROI",0.160360798809184
"R_V1_ROI","R_3a_ROI",0.0960052149833582
"R_V1_ROI","R_6d_ROI",0.528920683614967
"R_V1_ROI","R_6mp_ROI",0.430016824081251
"R_V1_ROI","R_6v_ROI",0.0986011547265691
"R_V1_ROI","R_p24pr_ROI",0.471444712187666
"R_V1_ROI","R_33pr_ROI",0.21450560042492
"R_V1_ROI","R_a24pr_ROI",0.258354329791149
"R_V1_ROI","R_p32pr_ROI",0.170205143970533
"R_V1_ROI","R_a24_ROI",0.199475707869105
"R_V1_ROI","R_d32_ROI",0.370142373861316
"R_V1_ROI","R_8BM_ROI",0.166262145563889
"R_V1_ROI","R_p32_ROI",0.367412991117734
"R_V1_ROI","R_10r_ROI",0.335655414062227
"R_V1_ROI","R_47m_ROI",0.27030926661222
"R_V1_ROI","R_8Av_ROI",0.212135549397573
"R_V1_ROI","R_8Ad_ROI",0.289982798057749
"R_V1_ROI","R_9m_ROI",0.257067863983638
"R_V1_ROI","R_8BL_ROI",0.195784856697618
"R_V1_ROI","R_9p_ROI",0.161292072802907
"R_V1_ROI","R_10d_ROI",0.204273316436466
"R_V1_ROI","R_8C_ROI",0.246896956925481
"R_V1_ROI","R_44_ROI",0.130424582566978
"R_V1_ROI","R_45_ROI",0.0174332717570185
"R_V1_ROI","R_47l_ROI",0.316841118121423
"R_V1_ROI","R_a47r_ROI",0.289897577908234
"R_V1_ROI","R_6r_ROI",0.101119607406098
"R_V1_ROI","R_IFJa_ROI",0.277718920810454
"R_V1_ROI","R_IFJp_ROI",0.49474388116585
"R_V1_ROI","R_IFSp_ROI",0.534812600455612
"R_V1_ROI","R_IFSa_ROI",0.461295023318947
"R_V1_ROI","R_p9-46v_ROI",0.249510877215439
"R_V1_ROI","R_46_ROI",0.0692970629888752
"R_V1_ROI","R_a9-46v_ROI",0.199381506905829
"R_V1_ROI","R_9-46d_ROI",0.218950532061219
"R_V1_ROI","R_9a_ROI",0.13151877919542
"R_V1_ROI","R_10v_ROI",0.243842748251132
"R_V1_ROI","R_a10p_ROI",0.427472963133961
"R_V1_ROI","R_10pp_ROI",0.298787577134221
"R_V1_ROI","R_11l_ROI",0.032240813061497
"R_V1_ROI","R_13l_ROI",0.092818716031328
"R_V1_ROI","R_OFC_ROI",0.168878461906443
"R_V1_ROI","R_47s_ROI",0.203788426888447
"R_V1_ROI","R_LIPd_ROI",0.401968676997876
"R_V1_ROI","R_6a_ROI",0.340222286510076
"R_V1_ROI","R_i6-8_ROI",0.513846732361482
"R_V1_ROI","R_s6-8_ROI",0.22838319518344
"R_V1_ROI","R_43_ROI",0.108196361526209
"R_V1_ROI","R_OP4_ROI",0.39689716403922
