"","labelname","int_value","AP_quant"
"1","L_1_ROI",231,5
"2","L_10d_ROI",252,10
"3","L_10pp_ROI",270,10
"4","L_10r_ROI",245,10
"5","L_10v_ROI",268,10
"6","L_11l_ROI",271,10
"7","L_13l_ROI",272,9
"8","L_2_ROI",232,5
"9","L_23c_ROI",218,5
"10","L_23d_ROI",212,5
"11","L_24dd_ROI",220,6
"12","L_24dv_ROI",221,7
"13","L_25_ROI",344,9
"14","L_31a_ROI",342,4
"15","L_31pd_ROI",341,3
"16","L_31pv_ROI",215,4
"17","L_33pr_ROI",238,8
"18","L_3a_ROI",233,6
"19","L_3b_ROI",189,5
"20","L_4_ROI",188,6
"21","L_43_ROI",279,7
"22","L_44_ROI",254,8
"23","L_45_ROI",255,9
"24","L_46_ROI",264,10
"25","L_47l_ROI",256,9
"26","L_47m_ROI",246,9
"27","L_47s_ROI",274,8
"28","L_52_ROI",283,5
"29","L_55b_ROI",192,7
"30","L_5L_ROI",219,3
"31","L_5m_ROI",216,4
"32","L_5mv_ROI",217,4
"33","L_6a_ROI",276,7
"34","L_6d_ROI",234,6
"35","L_6ma_ROI",224,7
"36","L_6mp_ROI",235,6
"37","L_6r_ROI",258,8
"38","L_6v_ROI",236,7
"39","L_7AL_ROI",222,3
"40","L_7Am_ROI",225,2
"41","L_7m_ROI",210,2
"42","L_7PC_ROI",227,3
"43","L_7PL_ROI",226,1
"44","L_7Pm_ROI",209,2
"45","L_8Ad_ROI",248,9
"46","L_8Av_ROI",247,8
"47","L_8BL_ROI",250,10
"48","L_8BM_ROI",243,9
"49","L_8C_ROI",253,8
"50","L_9-46d_ROI",266,10
"51","L_9a_ROI",267,10
"52","L_9m_ROI",249,10
"53","L_9p_ROI",251,10
"54","L_A1_ROI",204,5
"55","L_a10p_ROI",269,10
"56","L_a24_ROI",241,10
"57","L_a24pr_ROI",239,8
"58","L_a32pr_ROI",359,9
"59","L_A4_ROI",355,6
"60","L_a47r_ROI",257,10
"61","L_A5_ROI",305,6
"62","L_a9-46v_ROI",265,10
"63","L_AAIC_ROI",292,8
"64","L_AIP_ROI",297,4
"65","L_AVI_ROI",291,9
