"int_value","labelname","red","green","blue","alpha"
1,"R_V1_ROI",69,0,255,255
2,"R_MST_ROI",49,109,132,255
3,"R_V6_ROI",74,90,180,255
4,"R_V2_ROI",28,56,236,255
5,"R_V3_ROI",22,37,235,255
6,"R_V4_ROI",22,44,221,255
7,"R_V8_ROI",27,68,212,255
8,"R_4_ROI",34,181,28,255
9,"R_3b_ROI",44,191,28,255
10,"R_FEF_ROI",139,152,149,255
11,"R_PEF_ROI",159,180,168,255
12,"R_55b_ROI",113,108,81,255
13,"R_V3A_ROI",22,71,247,255
14,"R_RSC_ROI",155,64,135,255
15,"R_POS2_ROI",210,108,204,255
16,"R_V7_ROI",29,94,191,255
17,"R_IPS1_ROI",62,133,173,255
18,"R_FFC_ROI",55,106,126,255
19,"R_V3B_ROI",41,75,221,255
20,"R_LO1_ROI",16,67,201,255
21,"R_LO2_ROI",21,64,184,255
22,"R_PIT_ROI",40,72,184,255
23,"R_MT_ROI",32,98,106,255
24,"R_A1_ROI",236,13,47,255
25,"R_PSL_ROI",192,146,135,255
26,"R_SFL_ROI",70,55,50,255
27,"R_PCV_ROI",135,143,157,255
28,"R_STV_ROI",144,114,107,255
29,"R_7Pm_ROI",155,206,193,255
30,"R_7m_ROI",51,44,54,255
31,"R_POS1_ROI",90,82,120,255
32,"R_23d_ROI",138,52,96,255
33,"R_v23ab_ROI",32,8,27,255
34,"R_d23ab_ROI",71,18,49,255
35,"R_31pv_ROI",71,14,52,255
36,"R_5m_ROI",45,173,52,255
37,"R_5mv_ROI",141,160,128,255
38,"R_23c_ROI",210,193,194,255
39,"R_5L_ROI",66,158,68,255
40,"R_24dd_ROI",72,163,48,255
41,"R_24dv_ROI",121,156,72,255
42,"R_7AL_ROI",117,182,122,255
43,"R_SCEF_ROI",143,152,110,255
44,"R_6ma_ROI",154,172,139,255
45,"R_7Am_ROI",170,243,213,255
46,"R_7PL_ROI",161,251,228,255
47,"R_7PC_ROI",72,178,108,255
48,"R_LIPv_ROI",64,126,172,255
49,"R_VIP_ROI",57,134,147,255
50,"R_MIP_ROI",127,203,195,255
51,"R_1_ROI",30,197,44,255
52,"R_2_ROI",55,180,71,255
53,"R_3a_ROI",51,225,31,255
54,"R_6d_ROI",33,160,42,255
55,"R_6mp_ROI",74,159,51,255
56,"R_6v_ROI",91,185,70,255
57,"R_p24pr_ROI",156,146,120,255
