"x","y","z","roi"
10.727372,-81.439499,3.25616,"R_V1_ROI"
43.368951,-65.182597,3.237902,"R_MST_ROI"
16.851002,-76.365723,31.205967,"R_V6_ROI"
11.705742,-79.620544,1.118139,"R_V2_ROI"
18.546445,-83.54267,4.355114,"R_V3_ROI"
30.90746,-83.187762,-3.385088,"R_V4_ROI"
29.805786,-71.536535,-15.638482,"R_V8_ROI"
30.472012,-16.695859,52.732794,"R_4_ROI"
36.89731,-21.288231,53.249008,"R_3b_ROI"
43.77474,-2.35,51.583618,"R_FEF_ROI"
44.510887,2.801029,36.41257,"R_PEF_ROI"
48.960779,2.121221,45.233145,"R_55b_ROI"
15.993586,-88.501347,30.733579,"R_V3A_ROI"
5.384702,-38.353655,18.222784,"R_RSC_ROI"
10.300257,-70.154581,35.673406,"R_POS2_ROI"
27.862913,-83.5611,30.122052,"R_V7_ROI"
26.8254,-71.233429,39.793066,"R_IPS1_ROI"
39.826542,-55.882357,-20.989912,"R_FFC_ROI"
29.074211,-77.294998,19.914924,"R_V3B_ROI"
39.541128,-84.021134,3.873803,"R_LO1_ROI"
45.882204,-81.811097,-5.6875,"R_LO2_ROI"
42.94675,-78.95985,-14.86635,"R_PIT_ROI"
50.112397,-71.108894,5.795157,"R_MT_ROI"
45.664999,-21.578799,10.768293,"R_A1_ROI"
63.019929,-39.002195,22.141696,"R_PSL_ROI"
7.679756,16.008116,65.262994,"R_SFL_ROI"
5.20366,-51.677977,48.933004,"R_PCV_ROI"
57.872023,-43.179426,14.208935,"R_STV_ROI"
4.844656,-66.629121,49.59532,"R_7Pm_ROI"
4.108305,-60.085312,34.074806,"R_7m_ROI"
10.947631,-58.425924,15.033748,"R_POS1_ROI"
2.841972,-22.717596,39.216186,"R_23d_ROI"
4.046702,-53.282036,18.745945,"R_v23ab_ROI"
2.613325,-40.830557,32.182285,"R_d23ab_ROI"
8.11256,-44.50696,33.990494,"R_31pv_ROI"
5.292603,-38.582826,61.794437,"R_5m_ROI"
12.423996,-38.410998,51.546866,"R_5mv_ROI"
9.852047,-31.057399,42.894459,"R_23c_ROI"
12.720508,-45.833037,72.702766,"R_5L_ROI"
6.292951,-17.104126,50.026492,"R_24dd_ROI"
9.871856,-4.94843,45.008483,"R_24dv_ROI"
20.256885,-53.20904,65.212064,"R_7AL_ROI"
5.488559,3.140479,57.522235,"R_SCEF_ROI"
19.923669,4.923706,65.572526,"R_6ma_ROI"
7.16889,-60.508084,61.847848,"R_7Am_ROI"
13.002941,-73.0372,54.215336,"R_7PL_ROI"
35.147465,-48.925813,62.020073,"R_7PC_ROI"
28.877495,-54.920922,52.395458,"R_LIPv_ROI"
20.088305,-62.415946,63.046209,"R_VIP_ROI"
23.180615,-65.731827,45.8923,"R_MIP_ROI"
48.318261,-22.425276,53.535372,"R_1_ROI"
39.442389,-31.150819,49.273729,"R_2_ROI"
31.754215,-21.012391,46.176214,"R_3a_ROI"
36.557262,-10.634642,63.423833,"R_6d_ROI"
14.867747,-12.049823,67.422892,"R_6mp_ROI"
58.45418,6.006689,30.471067,"R_6v_ROI"
3.806682,-2.556083,41.731958,"R_p24pr_ROI"
2.490012,11.103441,29.649624,"R_33pr_ROI"
3.934375,18.056953,33.69682,"R_a24pr_ROI"
9.504907,13.20712,38.948043,"R_p32pr_ROI"
4.279881,39.645515,-0.156628,"R_a24_ROI"
8.258731,37.262955,25.092024,"R_d32_ROI"
4.575332,27.954205,45.268642,"R_8BM_ROI"
10.669428,45.392594,-1.375748,"R_p32_ROI"
5.480976,47.967743,-7.013609,"R_10r_ROI"
35.18985,31.125192,-18.381351,"R_47m_ROI"
39.654138,21.605813,47.631416,"R_8Av_ROI"
23.573181,28.406786,44.909445,"R_8Ad_ROI"
5.950963,52.88916,22.158168,"R_9m_ROI"
11.52664,39.47344,51.19814,"R_8BL_ROI"
19.963334,47.680225,35.674036,"R_9p_ROI"
9.550292,65.594683,6.413062,"R_10d_ROI"
39.789946,18.063246,34.557409,"R_8C_ROI"
54.102074,17.613842,12.403267,"R_44_ROI"
51.410462,25.595941,3.091093,"R_45_ROI"
46.722741,31.690081,-12.692327,"R_47l_ROI"
40.629737,49.792926,-8.552232,"R_a47r_ROI"
51.217829,9.031857,15.321186,"R_6r_ROI"
42.587311,18.769938,23.552031,"R_IFJa_ROI"
37.235174,8.803155,27.289117,"R_IFJp_ROI"
48.608966,26.821824,18.993063,"R_IFSp_ROI"
49.410901,35.78975,5.705659,"R_IFSa_ROI"
46.115697,31.662154,28.061873,"R_p9-46v_ROI"
36.832301,39.205125,28.540645,"R_46_ROI"
40.926926,49.6358,11.915147,"R_a9-46v_ROI"
