subject,scanner
sub-0880002,TrioTim
sub-0880019,TrioTim
sub-0880020,TrioTim
sub-0880023,TrioTim
sub-0880043,TrioTim
sub-0880044,TrioTim
sub-0880046,TrioTim
sub-0880049,TrioTim
sub-0880050,TrioTim
sub-0880061,TrioTim
sub-0880062,TrioTim
sub-0880079,TrioTim
sub-0880081,TrioTim
sub-0880082,TrioTim
sub-0880085,TrioTim
sub-0880096,TrioTim
sub-0880099,TrioTim
sub-0880100,TrioTim
sub-0880102,TrioTim
sub-0880107,TrioTim
sub-0880112,TrioTim
sub-0880114,TrioTim
sub-0880136,TrioTim
sub-0880137,TrioTim
sub-0880138,TrioTim
sub-0880139,TrioTim
sub-0880140,TrioTim
sub-0880146,TrioTim
sub-0880152,TrioTim
sub-0880155,TrioTim
sub-0880157,TrioTim
sub-0880167,TrioTim
sub-0880168,Prisma_fit
sub-0880175,TrioTim
sub-0880182,TrioTim
sub-0880195,TrioTim
sub-0880205,TrioTim
sub-0880208,TrioTim
sub-0880215,TrioTim
sub-0880221,TrioTim
sub-0880229,TrioTim
sub-0880247,TrioTim
sub-0880250,TrioTim
sub-0880252,Prisma_fit
sub-0880253,TrioTim
sub-0880254,TrioTim
sub-0880255,TrioTim
sub-0880258,TrioTim
sub-0880265,TrioTim
sub-0880276,TrioTim
sub-0880278,Prisma_fit
sub-0880279,TrioTim
sub-0880284,TrioTim
sub-0880291,TrioTim
sub-0880293,TrioTim
sub-0880303,TrioTim
sub-0880304,TrioTim
sub-0880305,Prisma_fit
sub-0880308,TrioTim
sub-0880323,TrioTim
sub-0880328,TrioTim
sub-0880338,TrioTim
sub-0880349,TrioTim
sub-0880351,Prisma_fit
sub-0880353,TrioTim
sub-0880369,TrioTim
sub-0880370,TrioTim
sub-0880372,TrioTim
sub-0880381,TrioTim
sub-0880386,TrioTim
sub-0880396,TrioTim
sub-0880397,TrioTim
sub-0880405,Prisma_fit
sub-0880409,Prisma_fit
sub-0880415,TrioTim
sub-0880418,TrioTim
sub-0880419,TrioTim
sub-0880428,TrioTim
