"V1","V2","ROI1","ROI2","V1.hemi","V2.hemi","V1.roi","V2.roi","FCtype"
"10","1000",NA,NA,NA,NA,NA,NA,NA
"10","11","lh_Thalamus_Proper","lh_Caudate","lh","lh","ThalamusProper","Caudate","Intrahemispheric"
"10","11101","lh_Thalamus_Proper","lh_G_and_S_frontomargin","lh","lh","ThalamusProper","GandSfrontomargin","Intrahemispheric"
"10","11102","lh_Thalamus_Proper","lh_G_and_S_occipital_inf","lh","lh","ThalamusProper","GandSoccipitalinf","Intrahemispheric"
"10","11103","lh_Thalamus_Proper","lh_G_and_S_paracentral","lh","lh","ThalamusProper","GandSparacentral","Intrahemispheric"
"10","11104","lh_Thalamus_Proper","lh_G_and_S_subcentral","lh","lh","ThalamusProper","GandSsubcentral","Intrahemispheric"
"10","11105","lh_Thalamus_Proper","lh_G_and_S_transv_frontopol","lh","lh","ThalamusProper","GandStransvfrontopol","Intrahemispheric"
"10","11106","lh_Thalamus_Proper","lh_G_and_S_cingul_Ant","lh","lh","ThalamusProper","GandScingulAnt","Intrahemispheric"
"10","11107","lh_Thalamus_Proper","lh_G_and_S_cingul_Mid-Ant","lh","lh","ThalamusProper","GandScingulMid-Ant","Intrahemispheric"
"10","11108","lh_Thalamus_Proper","lh_G_and_S_cingul_Mid-Post","lh","lh","ThalamusProper","GandScingulMid-Post","Intrahemispheric"
"10","11109","lh_Thalamus_Proper","lh_G_cingul_Post-dorsal","lh","lh","ThalamusProper","GcingulPost-dorsal","Intrahemispheric"
"10","11110","lh_Thalamus_Proper","lh_G_cingul_Post-ventral","lh","lh","ThalamusProper","GcingulPost-ventral","Intrahemispheric"
"10","11111","lh_Thalamus_Proper","lh_G_cuneus","lh","lh","ThalamusProper","Gcuneus","Intrahemispheric"
"10","11112","lh_Thalamus_Proper","lh_G_front_inf_Opercular","lh","lh","ThalamusProper","GfrontinfOpercular","Intrahemispheric"
"10","11113","lh_Thalamus_Proper","lh_G_front_inf_Orbital","lh","lh","ThalamusProper","GfrontinfOrbital","Intrahemispheric"
"10","11114","lh_Thalamus_Proper","lh_G_front_inf_Triangul","lh","lh","ThalamusProper","GfrontinfTriangul","Intrahemispheric"
"10","11115","lh_Thalamus_Proper","lh_G_front_middle","lh","lh","ThalamusProper","Gfrontmiddle","Intrahemispheric"
"10","11116","lh_Thalamus_Proper","lh_G_front_sup","lh","lh","ThalamusProper","Gfrontsup","Intrahemispheric"
"10","11117","lh_Thalamus_Proper","lh_G_Ins_lg_and_S_cent_ins","lh","lh","ThalamusProper","GInslgandScentins","Intrahemispheric"
"10","11118","lh_Thalamus_Proper","lh_G_insular_short","lh","lh","ThalamusProper","Ginsularshort","Intrahemispheric"
"10","11119","lh_Thalamus_Proper","lh_G_occipital_middle","lh","lh","ThalamusProper","Goccipitalmiddle","Intrahemispheric"
"10","11120","lh_Thalamus_Proper","lh_G_occipital_sup","lh","lh","ThalamusProper","Goccipitalsup","Intrahemispheric"
"10","11121","lh_Thalamus_Proper","lh_G_oc_temp_lat-fusifor","lh","lh","ThalamusProper","Goctemplat-fusifor","Intrahemispheric"
"10","11122","lh_Thalamus_Proper","lh_G_oc_temp_med-Lingual","lh","lh","ThalamusProper","Goctempmed-Lingual","Intrahemispheric"
"10","11123","lh_Thalamus_Proper","lh_G_oc_temp_med-Parahip","lh","lh","ThalamusProper","Goctempmed-Parahip","Intrahemispheric"
"10","11124","lh_Thalamus_Proper","lh_G_orbital","lh","lh","ThalamusProper","Gorbital","Intrahemispheric"
"10","11125","lh_Thalamus_Proper","lh_G_pariet_inf_Angular","lh","lh","ThalamusProper","GparietinfAngular","Intrahemispheric"
"10","11126","lh_Thalamus_Proper","lh_G_pariet_inf_Supramar","lh","lh","ThalamusProper","GparietinfSupramar","Intrahemispheric"
"10","11127","lh_Thalamus_Proper","lh_G_parietal_sup","lh","lh","ThalamusProper","Gparietalsup","Intrahemispheric"
"10","11128","lh_Thalamus_Proper","lh_G_postcentral","lh","lh","ThalamusProper","Gpostcentral","Intrahemispheric"
"10","11129","lh_Thalamus_Proper","lh_G_precentral","lh","lh","ThalamusProper","Gprecentral","Intrahemispheric"
"10","11130","lh_Thalamus_Proper","lh_G_precuneus","lh","lh","ThalamusProper","Gprecuneus","Intrahemispheric"
"10","11131","lh_Thalamus_Proper","lh_G_rectus","lh","lh","ThalamusProper","Grectus","Intrahemispheric"
"10","11132","lh_Thalamus_Proper","lh_G_subcallosal","lh","lh","ThalamusProper","Gsubcallosal","Intrahemispheric"
"10","11133","lh_Thalamus_Proper","lh_G_temp_sup_G_T_transv","lh","lh","ThalamusProper","GtempsupGTtransv","Intrahemispheric"
"10","11134","lh_Thalamus_Proper","lh_G_temp_sup_Lateral","lh","lh","ThalamusProper","GtempsupLateral","Intrahemispheric"
"10","11135","lh_Thalamus_Proper","lh_G_temp_sup_Plan_polar","lh","lh","ThalamusProper","GtempsupPlanpolar","Intrahemispheric"
"10","11136","lh_Thalamus_Proper","lh_G_temp_sup_Plan_tempo","lh","lh","ThalamusProper","GtempsupPlantempo","Intrahemispheric"
"10","11137","lh_Thalamus_Proper","lh_G_temporal_inf","lh","lh","ThalamusProper","Gtemporalinf","Intrahemispheric"
"10","11138","lh_Thalamus_Proper","lh_G_temporal_middle","lh","lh","ThalamusProper","Gtemporalmiddle","Intrahemispheric"
"10","11139","lh_Thalamus_Proper","lh_Lat_Fis_ant-Horizont","lh","lh","ThalamusProper","LatFisant-Horizont","Intrahemispheric"
"10","11140","lh_Thalamus_Proper","lh_Lat_Fis_ant-Vertical","lh","lh","ThalamusProper","LatFisant-Vertical","Intrahemispheric"
"10","11141","lh_Thalamus_Proper","lh_Lat_Fis_post","lh","lh","ThalamusProper","LatFispost","Intrahemispheric"
"10","11143","lh_Thalamus_Proper","lh_Pole_occipital","lh","lh","ThalamusProper","Poleoccipital","Intrahemispheric"
"10","11144","lh_Thalamus_Proper","lh_Pole_temporal","lh","lh","ThalamusProper","Poletemporal","Intrahemispheric"
"10","11145","lh_Thalamus_Proper","lh_S_calcarine","lh","lh","ThalamusProper","Scalcarine","Intrahemispheric"
"10","11146","lh_Thalamus_Proper","lh_S_central","lh","lh","ThalamusProper","Scentral","Intrahemispheric"
"10","11147","lh_Thalamus_Proper","lh_S_cingul_Marginalis","lh","lh","ThalamusProper","ScingulMarginalis","Intrahemispheric"
"10","11148","lh_Thalamus_Proper","lh_S_circular_insula_ant","lh","lh","ThalamusProper","Scircularinsulaant","Intrahemispheric"
"10","11149","lh_Thalamus_Proper","lh_S_circular_insula_inf","lh","lh","ThalamusProper","Scircularinsulainf","Intrahemispheric"
"10","11150","lh_Thalamus_Proper","lh_S_circular_insula_sup","lh","lh","ThalamusProper","Scircularinsulasup","Intrahemispheric"
"10","11151","lh_Thalamus_Proper","lh_S_collat_transv_ant","lh","lh","ThalamusProper","Scollattransvant","Intrahemispheric"
"10","11152","lh_Thalamus_Proper","lh_S_collat_transv_post","lh","lh","ThalamusProper","Scollattransvpost","Intrahemispheric"
"10","11153","lh_Thalamus_Proper","lh_S_front_inf","lh","lh","ThalamusProper","Sfrontinf","Intrahemispheric"
"10","11154","lh_Thalamus_Proper","lh_S_front_middle","lh","lh","ThalamusProper","Sfrontmiddle","Intrahemispheric"
"10","11155","lh_Thalamus_Proper","lh_S_front_sup","lh","lh","ThalamusProper","Sfrontsup","Intrahemispheric"
"10","11156","lh_Thalamus_Proper","lh_S_interm_prim_Jensen","lh","lh","ThalamusProper","SintermprimJensen","Intrahemispheric"
"10","11157","lh_Thalamus_Proper","lh_S_intrapariet_and_P_trans","lh","lh","ThalamusProper","SintraparietandPtrans","Intrahemispheric"
"10","11158","lh_Thalamus_Proper","lh_S_oc_middle_and_Lunatus","lh","lh","ThalamusProper","SocmiddleandLunatus","Intrahemispheric"
"10","11159","lh_Thalamus_Proper","lh_S_oc_sup_and_transversal","lh","lh","ThalamusProper","Socsupandtransversal","Intrahemispheric"
"10","11160","lh_Thalamus_Proper","lh_S_occipital_ant","lh","lh","ThalamusProper","Soccipitalant","Intrahemispheric"
"10","11161","lh_Thalamus_Proper","lh_S_oc_temp_lat","lh","lh","ThalamusProper","Soctemplat","Intrahemispheric"
"10","11162","lh_Thalamus_Proper","lh_S_oc_temp_med_and_Lingual","lh","lh","ThalamusProper","SoctempmedandLingual","Intrahemispheric"
"10","11163","lh_Thalamus_Proper","lh_S_orbital_lateral","lh","lh","ThalamusProper","Sorbitallateral","Intrahemispheric"
"10","11164","lh_Thalamus_Proper","lh_S_orbital_med_olfact","lh","lh","ThalamusProper","Sorbitalmedolfact","Intrahemispheric"
"10","11165","lh_Thalamus_Proper","lh_S_orbital_H_Shaped","lh","lh","ThalamusProper","SorbitalHShaped","Intrahemispheric"
"10","11166","lh_Thalamus_Proper","lh_S_parieto_occipital","lh","lh","ThalamusProper","Sparietooccipital","Intrahemispheric"
"10","11167","lh_Thalamus_Proper","lh_S_pericallosal","lh","lh","ThalamusProper","Spericallosal","Intrahemispheric"
"10","11168","lh_Thalamus_Proper","lh_S_postcentral","lh","lh","ThalamusProper","Spostcentral","Intrahemispheric"
"10","11169","lh_Thalamus_Proper","lh_S_precentral_inf-part","lh","lh","ThalamusProper","Sprecentralinf-part","Intrahemispheric"
"10","11170","lh_Thalamus_Proper","lh_S_precentral_sup-part","lh","lh","ThalamusProper","Sprecentralsup-part","Intrahemispheric"
"10","11171","lh_Thalamus_Proper","lh_S_suborbital","lh","lh","ThalamusProper","Ssuborbital","Intrahemispheric"
"10","11172","lh_Thalamus_Proper","lh_S_subparietal","lh","lh","ThalamusProper","Ssubparietal","Intrahemispheric"
"10","11173","lh_Thalamus_Proper","lh_S_temporal_inf","lh","lh","ThalamusProper","Stemporalinf","Intrahemispheric"
"10","11174","lh_Thalamus_Proper","lh_S_temporal_sup","lh","lh","ThalamusProper","Stemporalsup","Intrahemispheric"
"10","11175","lh_Thalamus_Proper","lh_S_temporal_transverse","lh","lh","ThalamusProper","Stemporaltransverse","Intrahemispheric"
"10","12","lh_Thalamus_Proper","lh_Putamen","lh","lh","ThalamusProper","Putamen","Intrahemispheric"
"10","12101","lh_Thalamus_Proper","rh_G_and_S_frontomargin","lh","rh","ThalamusProper","GandSfrontomargin","Heterotopic"
"10","12102","lh_Thalamus_Proper","rh_G_and_S_occipital_inf","lh","rh","ThalamusProper","GandSoccipitalinf","Heterotopic"
"10","12103","lh_Thalamus_Proper","rh_G_and_S_paracentral","lh","rh","ThalamusProper","GandSparacentral","Heterotopic"
"10","12104","lh_Thalamus_Proper","rh_G_and_S_subcentral","lh","rh","ThalamusProper","GandSsubcentral","Heterotopic"
"10","12105","lh_Thalamus_Proper","rh_G_and_S_transv_frontopol","lh","rh","ThalamusProper","GandStransvfrontopol","Heterotopic"
"10","12106","lh_Thalamus_Proper","rh_G_and_S_cingul_Ant","lh","rh","ThalamusProper","GandScingulAnt","Heterotopic"
"10","12107","lh_Thalamus_Proper","rh_G_and_S_cingul_Mid-Ant","lh","rh","ThalamusProper","GandScingulMid-Ant","Heterotopic"
"10","12108","lh_Thalamus_Proper","rh_G_and_S_cingul_Mid-Post","lh","rh","ThalamusProper","GandScingulMid-Post","Heterotopic"
"10","12109","lh_Thalamus_Proper","rh_G_cingul_Post-dorsal","lh","rh","ThalamusProper","GcingulPost-dorsal","Heterotopic"
