"V1","V2","V1.hemi","V1.roi","V2.hemi","V2.roi","FCtype"
"R_V1_ROI","R_MST_ROI","R","V1","R","MST","Intrahemispheric"
"R_V1_ROI","R_V6_ROI","R","V1","R","V6","Intrahemispheric"
"R_V1_ROI","R_V2_ROI","R","V1","R","V2","Intrahemispheric"
"R_V1_ROI","R_V3_ROI","R","V1","R","V3","Intrahemispheric"
"R_V1_ROI","R_V4_ROI","R","V1","R","V4","Intrahemispheric"
"R_V1_ROI","R_V8_ROI","R","V1","R","V8","Intrahemispheric"
"R_V1_ROI","R_4_ROI","R","V1","R","4","Intrahemispheric"
"R_V1_ROI","R_3b_ROI","R","V1","R","3b","Intrahemispheric"
"R_V1_ROI","R_FEF_ROI","R","V1","R","FEF","Intrahemispheric"
"R_V1_ROI","R_PEF_ROI","R","V1","R","PEF","Intrahemispheric"
"R_V1_ROI","R_55b_ROI","R","V1","R","55b","Intrahemispheric"
"R_V1_ROI","R_V3A_ROI","R","V1","R","V3A","Intrahemispheric"
"R_V1_ROI","R_RSC_ROI","R","V1","R","RSC","Intrahemispheric"
"R_V1_ROI","R_POS2_ROI","R","V1","R","POS2","Intrahemispheric"
"R_V1_ROI","R_V7_ROI","R","V1","R","V7","Intrahemispheric"
"R_V1_ROI","R_IPS1_ROI","R","V1","R","IPS1","Intrahemispheric"
"R_V1_ROI","R_FFC_ROI","R","V1","R","FFC","Intrahemispheric"
"R_V1_ROI","R_V3B_ROI","R","V1","R","V3B","Intrahemispheric"
"R_V1_ROI","R_LO1_ROI","R","V1","R","LO1","Intrahemispheric"
"R_V1_ROI","R_LO2_ROI","R","V1","R","LO2","Intrahemispheric"
"R_V1_ROI","R_PIT_ROI","R","V1","R","PIT","Intrahemispheric"
"R_V1_ROI","R_MT_ROI","R","V1","R","MT","Intrahemispheric"
"R_V1_ROI","R_A1_ROI","R","V1","R","A1","Intrahemispheric"
"R_V1_ROI","R_PSL_ROI","R","V1","R","PSL","Intrahemispheric"
"R_V1_ROI","R_SFL_ROI","R","V1","R","SFL","Intrahemispheric"
"R_V1_ROI","R_PCV_ROI","R","V1","R","PCV","Intrahemispheric"
"R_V1_ROI","R_STV_ROI","R","V1","R","STV","Intrahemispheric"
"R_V1_ROI","R_7Pm_ROI","R","V1","R","7Pm","Intrahemispheric"
"R_V1_ROI","R_7m_ROI","R","V1","R","7m","Intrahemispheric"
"R_V1_ROI","R_POS1_ROI","R","V1","R","POS1","Intrahemispheric"
"R_V1_ROI","R_23d_ROI","R","V1","R","23d","Intrahemispheric"
"R_V1_ROI","R_v23ab_ROI","R","V1","R","v23ab","Intrahemispheric"
"R_V1_ROI","R_d23ab_ROI","R","V1","R","d23ab","Intrahemispheric"
"R_V1_ROI","R_31pv_ROI","R","V1","R","31pv","Intrahemispheric"
"R_V1_ROI","R_5m_ROI","R","V1","R","5m","Intrahemispheric"
"R_V1_ROI","R_5mv_ROI","R","V1","R","5mv","Intrahemispheric"
"R_V1_ROI","R_23c_ROI","R","V1","R","23c","Intrahemispheric"
"R_V1_ROI","R_5L_ROI","R","V1","R","5L","Intrahemispheric"
"R_V1_ROI","R_24dd_ROI","R","V1","R","24dd","Intrahemispheric"
"R_V1_ROI","R_24dv_ROI","R","V1","R","24dv","Intrahemispheric"
"R_V1_ROI","R_7AL_ROI","R","V1","R","7AL","Intrahemispheric"
"R_V1_ROI","R_SCEF_ROI","R","V1","R","SCEF","Intrahemispheric"
"R_V1_ROI","R_6ma_ROI","R","V1","R","6ma","Intrahemispheric"
"R_V1_ROI","R_7Am_ROI","R","V1","R","7Am","Intrahemispheric"
"R_V1_ROI","R_7PL_ROI","R","V1","R","7PL","Intrahemispheric"
"R_V1_ROI","R_7PC_ROI","R","V1","R","7PC","Intrahemispheric"
"R_V1_ROI","R_LIPv_ROI","R","V1","R","LIPv","Intrahemispheric"
"R_V1_ROI","R_VIP_ROI","R","V1","R","VIP","Intrahemispheric"
"R_V1_ROI","R_MIP_ROI","R","V1","R","MIP","Intrahemispheric"
"R_V1_ROI","R_1_ROI","R","V1","R","1","Intrahemispheric"
"R_V1_ROI","R_2_ROI","R","V1","R","2","Intrahemispheric"
"R_V1_ROI","R_3a_ROI","R","V1","R","3a","Intrahemispheric"
"R_V1_ROI","R_6d_ROI","R","V1","R","6d","Intrahemispheric"
"R_V1_ROI","R_6mp_ROI","R","V1","R","6mp","Intrahemispheric"
"R_V1_ROI","R_6v_ROI","R","V1","R","6v","Intrahemispheric"
"R_V1_ROI","R_p24pr_ROI","R","V1","R","p24pr","Intrahemispheric"
"R_V1_ROI","R_33pr_ROI","R","V1","R","33pr","Intrahemispheric"
"R_V1_ROI","R_a24pr_ROI","R","V1","R","a24pr","Intrahemispheric"
"R_V1_ROI","R_p32pr_ROI","R","V1","R","p32pr","Intrahemispheric"
"R_V1_ROI","R_a24_ROI","R","V1","R","a24","Intrahemispheric"
"R_V1_ROI","R_d32_ROI","R","V1","R","d32","Intrahemispheric"
"R_V1_ROI","R_8BM_ROI","R","V1","R","8BM","Intrahemispheric"
"R_V1_ROI","R_p32_ROI","R","V1","R","p32","Intrahemispheric"
"R_V1_ROI","R_10r_ROI","R","V1","R","10r","Intrahemispheric"
"R_V1_ROI","R_47m_ROI","R","V1","R","47m","Intrahemispheric"
"R_V1_ROI","R_8Av_ROI","R","V1","R","8Av","Intrahemispheric"
"R_V1_ROI","R_8Ad_ROI","R","V1","R","8Ad","Intrahemispheric"
"R_V1_ROI","R_9m_ROI","R","V1","R","9m","Intrahemispheric"
"R_V1_ROI","R_8BL_ROI","R","V1","R","8BL","Intrahemispheric"
"R_V1_ROI","R_9p_ROI","R","V1","R","9p","Intrahemispheric"
"R_V1_ROI","R_10d_ROI","R","V1","R","10d","Intrahemispheric"
"R_V1_ROI","R_8C_ROI","R","V1","R","8C","Intrahemispheric"
"R_V1_ROI","R_44_ROI","R","V1","R","44","Intrahemispheric"
"R_V1_ROI","R_45_ROI","R","V1","R","45","Intrahemispheric"
"R_V1_ROI","R_47l_ROI","R","V1","R","47l","Intrahemispheric"
"R_V1_ROI","R_a47r_ROI","R","V1","R","a47r","Intrahemispheric"
"R_V1_ROI","R_6r_ROI","R","V1","R","6r","Intrahemispheric"
"R_V1_ROI","R_IFJa_ROI","R","V1","R","IFJa","Intrahemispheric"
"R_V1_ROI","R_IFJp_ROI","R","V1","R","IFJp","Intrahemispheric"
"R_V1_ROI","R_IFSp_ROI","R","V1","R","IFSp","Intrahemispheric"
"R_V1_ROI","R_IFSa_ROI","R","V1","R","IFSa","Intrahemispheric"
"R_V1_ROI","R_p9-46v_ROI","R","V1","R","p9-46v","Intrahemispheric"
"R_V1_ROI","R_46_ROI","R","V1","R","46","Intrahemispheric"
"R_V1_ROI","R_a9-46v_ROI","R","V1","R","a9-46v","Intrahemispheric"
"R_V1_ROI","R_9-46d_ROI","R","V1","R","9-46d","Intrahemispheric"
"R_V1_ROI","R_9a_ROI","R","V1","R","9a","Intrahemispheric"
"R_V1_ROI","R_10v_ROI","R","V1","R","10v","Intrahemispheric"
"R_V1_ROI","R_a10p_ROI","R","V1","R","a10p","Intrahemispheric"
"R_V1_ROI","R_10pp_ROI","R","V1","R","10pp","Intrahemispheric"
"R_V1_ROI","R_11l_ROI","R","V1","R","11l","Intrahemispheric"
"R_V1_ROI","R_13l_ROI","R","V1","R","13l","Intrahemispheric"
"R_V1_ROI","R_OFC_ROI","R","V1","R","OFC","Intrahemispheric"
"R_V1_ROI","R_47s_ROI","R","V1","R","47s","Intrahemispheric"
"R_V1_ROI","R_LIPd_ROI","R","V1","R","LIPd","Intrahemispheric"
"R_V1_ROI","R_6a_ROI","R","V1","R","6a","Intrahemispheric"
"R_V1_ROI","R_i6-8_ROI","R","V1","R","i6-8","Intrahemispheric"
"R_V1_ROI","R_s6-8_ROI","R","V1","R","s6-8","Intrahemispheric"
"R_V1_ROI","R_43_ROI","R","V1","R","43","Intrahemispheric"
"R_V1_ROI","R_OP4_ROI","R","V1","R","OP4","Intrahemispheric"
"R_V1_ROI","R_OP1_ROI","R","V1","R","OP1","Intrahemispheric"
"R_V1_ROI","R_OP2-3_ROI","R","V1","R","OP2-3","Intrahemispheric"
"R_V1_ROI","R_52_ROI","R","V1","R","52","Intrahemispheric"
"R_V1_ROI","R_RI_ROI","R","V1","R","RI","Intrahemispheric"
"R_V1_ROI","R_PFcm_ROI","R","V1","R","PFcm","Intrahemispheric"
"R_V1_ROI","R_PoI2_ROI","R","V1","R","PoI2","Intrahemispheric"
"R_V1_ROI","R_TA2_ROI","R","V1","R","TA2","Intrahemispheric"
"R_V1_ROI","R_FOP4_ROI","R","V1","R","FOP4","Intrahemispheric"
"R_V1_ROI","R_MI_ROI","R","V1","R","MI","Intrahemispheric"
"R_V1_ROI","R_Pir_ROI","R","V1","R","Pir","Intrahemispheric"
"R_V1_ROI","R_AVI_ROI","R","V1","R","AVI","Intrahemispheric"
"R_V1_ROI","R_AAIC_ROI","R","V1","R","AAIC","Intrahemispheric"
"R_V1_ROI","R_FOP1_ROI","R","V1","R","FOP1","Intrahemispheric"
"R_V1_ROI","R_FOP3_ROI","R","V1","R","FOP3","Intrahemispheric"
"R_V1_ROI","R_FOP2_ROI","R","V1","R","FOP2","Intrahemispheric"
"R_V1_ROI","R_PFt_ROI","R","V1","R","PFt","Intrahemispheric"
